instance_name,cut_mode,initial_gap,final_gap,gap_closure,total_cuts,total_iterations,total_time_ms,final_status,solution_category
inst_MEDIUM_UFL_3,GFC,0.0100,0.0000,0.0100,96,2,296,optimal,Risolto con Tagli
inst_MEDIUM_UFL_4,GFC,0.0055,0.0000,0.0055,531,4,1381,optimal,Risolto con Tagli
inst_MEDIUM_UFL_5,GFC,0.0209,0.0035,0.0173,576,4,1532,optimal,Limite Raggiunto (Gap Residuo)
inst_MEDIUM_UFL_6,GFC,0.0000,0.0000,0.0000,0,0,7,optimal,LP Ottimo Intero
inst_MEDIUM_UFL_7,GFC,0.0203,0.0010,0.0193,590,4,2029,optimal,Limite Raggiunto (Gap Residuo)
inst_MEDIUM_UFL_8,GFC,0.0303,0.0157,0.0146,730,5,2455,optimal,Limite Raggiunto (Gap Residuo)
inst_MEDIUM_UFL_9,GFC,0.0185,0.0000,0.0185,563,5,1343,optimal,Risolto con Tagli
inst_SMALL_UFL_0,GFC,0.0093,0.0093,0.0000,0,1,2,optimal,Limite Raggiunto (Gap Residuo)
inst_SMALL_UFL_1,GFC,0.0102,0.0000,0.0102,16,1,1,optimal,Risolto con Tagli
inst_SMALL_UFL_2,GFC,0.0259,0.0057,0.0201,18,2,29,optimal,Limite Raggiunto (Gap Residuo)
inst_SMALL_UFL_3,GFC,0.0118,0.0012,0.0106,188,4,262,optimal,Limite Raggiunto (Gap Residuo)
inst_SMALL_UFL_4,GFC,0.0000,0.0000,0.0000,0,0,1,optimal,LP Ottimo Intero
