instance_name,cut_mode,initial_gap,final_gap,gap_closure,total_cuts,total_iterations,total_time_ms,final_status,solution_category
MEDIUM_UFL_instance_a5b0d7fc,BEST,0.0,0.0,0.0,0,0,15,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_b03aae2c,GFC,0.014928854676928997,0.005831583858175419,0.009097270818753578,400,3,2596,optimal,Limite Raggiunto (Gap Residuo)
MEDIUM_UFL_instance_b03aae2c,GMI,0.014928854676928997,0.0,0.014928854676928997,613,4,2459,optimal,Risolto con Tagli
MEDIUM_UFL_instance_b03aae2c,BEST,0.014928854676928997,0.005714952181011539,0.00921390249591746,462,2,1684,optimal,Limite Raggiunto (Gap Residuo)
MEDIUM_UFL_instance_bb362a12,GFC,0.0,0.0,0.0,0,0,11,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_bb362a12,GMI,0.0,0.0,0.0,0,0,10,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_bb362a12,BEST,0.0,0.0,0.0,0,0,9,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_cd72678f,GFC,0.0,0.0,0.0,0,0,14,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_cd72678f,GMI,0.0,0.0,0.0,0,0,13,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_cd72678f,BEST,0.0,0.0,0.0,0,0,17,optimal,LP Ottimo Intero
MEDIUM_UFL_instance_dc9b0374,GFC,0.007870753935376316,0.0,0.007870753935376316,16,1,9,optimal,Risolto con Tagli
MEDIUM_UFL_instance_dc9b0374,GMI,0.007870753935376316,0.0,0.007870753935376316,16,1,10,optimal,Risolto con Tagli
MEDIUM_UFL_instance_dc9b0374,BEST,0.007870753935376316,0.0,0.007870753935376316,32,1,10,optimal,Risolto con Tagli
MEDIUM_UFL_instance_e13b4c31,GFC,0.02141802067946666,0.001740873602025807,0.01967714707744085,543,6,3436,optimal,Limite Raggiunto (Gap Residuo)
MEDIUM_UFL_instance_e13b4c31,GMI,0.02141802067946666,0.001740873602025807,0.01967714707744085,543,6,2159,optimal,Limite Raggiunto (Gap Residuo)
MEDIUM_UFL_instance_e13b4c31,BEST,0.02141802067946666,0.0007385524372229882,0.020679468242243672,662,4,2997,optimal,Limite Raggiunto (Gap Residuo)
cap101,GFC,1.461313627781198e-16,1.461313627781198e-16,0.0,0,0,4,optimal,LP Ottimo Intero
cap101,GMI,1.461313627781198e-16,1.461313627781198e-16,0.0,0,0,4,optimal,LP Ottimo Intero
cap101,BEST,1.461313627781198e-16,1.461313627781198e-16,0.0,0,0,4,optimal,LP Ottimo Intero
cap102,GFC,0.0,0.0,0.0,0,0,5,optimal,LP Ottimo Intero
cap102,GMI,0.0,0.0,0.0,0,0,5,optimal,LP Ottimo Intero
cap102,BEST,0.0,0.0,0.0,0,0,5,optimal,LP Ottimo Intero
cap103,GFC,0.0,0.0,0.0,0,0,5,optimal,LP Ottimo Intero
cap103,GMI,0.0,0.0,0.0,0,0,5,optimal,LP Ottimo Intero
cap103,BEST,0.0,0.0,0.0,0,0,6,optimal,LP Ottimo Intero
cap104,GFC,3.75961103568447e-16,3.75961103568447e-16,0.0,0,0,6,optimal,LP Ottimo Intero
cap104,GMI,3.75961103568447e-16,3.75961103568447e-16,0.0,0,0,6,optimal,LP Ottimo Intero
cap104,BEST,3.75961103568447e-16,3.75961103568447e-16,0.0,0,0,5,optimal,LP Ottimo Intero
cap131,GFC,1.467223558403477e-16,1.467223558403477e-16,0.0,0,0,45,optimal,LP Ottimo Intero
cap131,GMI,1.467223558403477e-16,1.467223558403477e-16,0.0,0,0,47,optimal,LP Ottimo Intero
cap131,BEST,1.467223558403477e-16,1.467223558403477e-16,0.0,0,0,45,optimal,LP Ottimo Intero
